,개체명,거래코드,단어,단어의미,단어일련번호,데이터셋출처,분류,분류번호,완료여부,입출금구분,적요,적요 설명,적요구조,적요구조일련번호,적요일련번호,최대금액,최소금액,출처번호,확인용
0,금융용어,전자뱅킹예약건별이체,용돈,용돈,0.0,,경조사/용돈입금,,1.0,입금, / 용돈,용돈 으로(로) 입금된 내역의 적요이다.,,,, - , - ,,536.0
1,보낸사람,전자뱅킹예약건별이체,1월,1월,0.0,,경조사/용돈입금,,1.0,입금, 월 주용돈,용돈 으로(로) 입금된 내역의 적요이다.,,,,"200,000","200,000",,583.0
2,보낸사람,전자뱅킹예약건별이체,1월,1월,1.0,,경조사/용돈입금,,1.0,입금, 월 주용돈,용돈 으로(로) 입금된 내역의 적요이다.,,,,"200,000","200,000",,583.0
3,금융용어,전자뱅킹예약건별이체,용돈,용돈,2.0,,경조사/용돈입금,,1.0,입금, 월 주용돈,용돈 으로(로) 입금된 내역의 적요이다.,,,,"200,000","200,000",,583.0
4,보낸사람,전자뱅킹예약건별이체,1월분,1월분,0.0,,경조사/용돈입금,,1.0,입금, 월분용돈,용돈 으로(로) 입금된 내역의 적요이다.,,,,"300,000","300,000",,970.0
5,금융용어,전자뱅킹예약건별이체,용돈,용돈,1.0,,경조사/용돈입금,,1.0,입금, 월분용돈,용돈 으로(로) 입금된 내역의 적요이다.,,,,"300,000","300,000",,970.0
6,보낸사람,전자뱅킹예약건별이체,1월,1월,0.0,,경조사/용돈입금,,1.0,입금, 월용돈,용돈 으로(로) 입금된 내역의 적요이다.,,,,"600,000", - ,,1041.0
7,금융용어,전자뱅킹예약건별이체,용돈,용돈,1.0,,경조사/용돈입금,,1.0,입금, 월용돈,용돈 으로(로) 입금된 내역의 적요이다.,,,,"600,000", - ,,1041.0
8,보낸사람,전자뱅킹예약건별이체,림이,림이,0.0,,경조사/용돈입금,,1.0,입금,림이용돈,용돈 으로(로) 입금된 내역의 적요이다.,,,,"60,000","60,000",,7563.0
9,금융용어,전자뱅킹예약건별이체,용돈,용돈,1.0,,경조사/용돈입금,,1.0,입금,림이용돈,용돈 으로(로) 입금된 내역의 적요이다.,,,,"60,000","60,000",,7563.0
10,보낸사람,인터넷뱅킹 대량이체,설,설,0.0,,급여,,1.0,입금,설　세배돈,세배돈 으로(로) 입금된 내역의 적요이다.,,,,"2,000,000","2,000,000",,9560.0
11,금융용어,인터넷뱅킹 대량이체,세배돈,세배돈,1.0,,급여,,1.0,입금,설　세배돈,세배돈 으로(로) 입금된 내역의 적요이다.,,,,"2,000,000","2,000,000",,9560.0
12,보낸사람,전자뱅킹예약건별이체,아들,아들,0.0,,경조사/용돈입금,,1.0,입금,아들용돈,용돈 으로(로) 입금된 내역의 적요이다.,,,, - , - ,,10933.0
13,금융용어,전자뱅킹예약건별이체,용돈,용돈,1.0,,경조사/용돈입금,,1.0,입금,아들용돈,용돈 으로(로) 입금된 내역의 적요이다.,,,, - , - ,,10933.0
14,금융용어,전자금융 자금집금,용돈,용돈,0.0,,경조사/용돈입금,,1.0,입금,용돈,용돈 으로(로) 입금된 내역의 적요이다.,,,,"50,000", - ,,11858.0
15,보낸사람,전자뱅킹예약건별이체,이선이,이선이,0.0,,모임비입금,,1.0,입금,이선이곗돈,곗돈 으로(로) 입금된 내역의 적요이다.,,,,"100,000","100,000",,12669.0
16,금융용어,전자뱅킹예약건별이체,곗돈,곗돈,1.0,,모임비입금,,1.0,입금,이선이곗돈,곗돈 으로(로) 입금된 내역의 적요이다.,,,,"100,000","100,000",,12669.0
17,보낸사람,인터넷뱅킹 대량이체,커피빈,커피빈,0.0,,복리후생비/경비,,1.0,입금,커피빈　세뱃돈,세뱃돈 으로(로) 입금된 내역의 적요이다.,,,,"50,000","50,000",,14669.0
18,금융용어,인터넷뱅킹 대량이체,세뱃돈,세뱃돈,1.0,,복리후생비/경비,,1.0,입금,커피빈　세뱃돈,세뱃돈 으로(로) 입금된 내역의 적요이다.,,,,"50,000","50,000",,14669.0
19,받는사람,전자뱅킹예약건별이체,1월,1월,0.0,,경조사/용돈,,1.0,지급,  월아버지용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,25655.0
20,받는사람,전자뱅킹예약건별이체,아버지,아버지,1.0,,경조사/용돈,,1.0,지급,  월아버지용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,25655.0
21,금융용어,전자뱅킹예약건별이체,용돈,용돈,2.0,,경조사/용돈,,1.0,지급,  월아버지용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,25655.0
22,받는사람,전자뱅킹예약건별이체,1월,1월,0.0,,경조사/용돈,,1.0,지급, 월용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,,"500,000","500,000",,33146.0
23,금융용어,전자뱅킹예약건별이체,용돈,용돈,1.0,,경조사/용돈,,1.0,지급, 월용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,,"500,000","500,000",,33146.0
24,받는사람,요구불간계좌이체,J월,J월,0.0,,경조사/용돈,,1.0,지급,J월용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,39893.0
25,금융용어,요구불간계좌이체,용돈,용돈,1.0,,경조사/용돈,,1.0,지급,J월용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,39893.0
26,받는사람,요구불간계좌이체,가영,가영,0.0,,경조사/용돈,,1.0,지급,가영용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,40989.0
27,금융용어,요구불간계좌이체,용돈,용돈,1.0,,경조사/용돈,,1.0,지급,가영용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,40989.0
28,받는사람,요구불간계좌이체,가현,가현,0.0,,경조사/용돈,,1.0,지급,가현용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,41082.0
29,금융용어,요구불간계좌이체,용돈,용돈,1.0,,경조사/용돈,,1.0,지급,가현용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,41082.0
30,금융용어,요구불간계좌이체,곗돈,곗돈,0.0,,모임비,,1.0,지급,곗돈,곗돈 으로(로) 이체한 내역의 적요이다.,,,,"50,000", - ,,42384.0
31,금융용어,전자뱅킹예약건별이체,곗돈,곗돈,0.0,,모임비,,1.0,지급,곗돈,곗돈 으로(로) 이체한 내역의 적요이다.,,,,"50,000", - ,,42385.0
32,받는사람,요구불간계좌이체,공주,공주,0.0,,경조사/용돈,,1.0,지급,공주용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,42884.0
33,금융용어,요구불간계좌이체,용돈,용돈,1.0,,경조사/용돈,,1.0,지급,공주용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,42884.0
34,받는사람,요구불간계좌이체,김규민,김규민,0.0,,경조사/용돈,,1.0,지급,김규민 용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,49649.0
35,금융용어,요구불간계좌이체,용돈,용돈,1.0,,경조사/용돈,,1.0,지급,김규민 용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,49649.0
36,받는사람,요구불간계좌이체,김수형,김수형,0.0,,경조사/용돈,,1.0,지급,김수형용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,50979.0
37,금융용어,요구불간계좌이체,용돈,용돈,1.0,,경조사/용돈,,1.0,지급,김수형용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,50979.0
38,받는사람,요구불간계좌이체,김윤영,김윤영,0.0,,경조사/용돈,,1.0,지급,김윤영용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,51625.0
39,금융용어,요구불간계좌이체,용돈,용돈,1.0,,경조사/용돈,,1.0,지급,김윤영용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,51625.0
40,받는사람,요구불간계좌이체,남매,남매,0.0,,모임비,,1.0,지급,남매곗돈,곗돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,53466.0
41,금융용어,요구불간계좌이체,곗돈,곗돈,1.0,,모임비,,1.0,지급,남매곗돈,곗돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,53466.0
42,받는사람,요구불간계좌이체,남편,남편,0.0,,경조사/용돈,,1.0,지급,남편용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,53679.0
43,금융용어,요구불간계좌이체,용돈,용돈,1.0,,경조사/용돈,,1.0,지급,남편용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,53679.0
44,받는사람,요구불간계좌이체,내사랑근영,내사랑근영,0.0,,경조사/용돈,,1.0,지급,내사랑근영용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,53722.0
45,금융용어,요구불간계좌이체,용돈,용돈,1.0,,경조사/용돈,,1.0,지급,내사랑근영용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,53722.0
46,받는사람,요구불간계좌이체,동우,동우,0.0,,경조사/용돈,,1.0,지급,동우용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,59485.0
47,금융용어,요구불간계좌이체,용돈,용돈,1.0,,경조사/용돈,,1.0,지급,동우용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,59485.0
48,받는사람,요구불간계좌이체,동창,동창,0.0,,모임비,,1.0,지급,동창곗돈,곗돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,59523.0
49,금융용어,요구불간계좌이체,곗돈,곗돈,1.0,,모임비,,1.0,지급,동창곗돈,곗돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,59523.0
50,받는사람,전자뱅킹예약건별이체,동현,동현,0.0,,경조사/용돈,,1.0,지급,동현용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,,"400,000","400,000",,59543.0
51,금융용어,전자뱅킹예약건별이체,용돈,용돈,1.0,,경조사/용돈,,1.0,지급,동현용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,,"400,000","400,000",,59543.0
52,받는사람,요구불간계좌이체,람보,람보,0.0,,기타출금,,1.0,지급,람보갯돈,갯돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,59777.0
53,금융용어,요구불간계좌이체,갯돈,갯돈,1.0,,기타출금,,1.0,지급,람보갯돈,갯돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,59777.0
54,받는사람,요구불간계좌이체,랑이,랑이,0.0,,경조사/용돈,,1.0,지급,랑이용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,59778.0
55,금융용어,요구불간계좌이체,용돈,용돈,1.0,,경조사/용돈,,1.0,지급,랑이용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,59778.0
56,금융용어,CMS공동망 출금이체,목돈,목돈,0.0,,저축/투자,,1.0,지급,목돈,목돈 으로(로) 이체한 내역의 적요이다.,,,,"1,000,000","100,000",,60578.0
57,받는사람,요구불간계좌이체,민성,민성,0.0,,경조사/용돈,,1.0,지급,민성용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,61422.0
58,금융용어,요구불간계좌이체,용돈,용돈,1.0,,경조사/용돈,,1.0,지급,민성용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,61422.0
59,받는사람,요구불간계좌이체,민이,민이,0.0,,경조사/용돈,,1.0,지급,민이용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,61445.0
60,금융용어,요구불간계좌이체,용돈,용돈,1.0,,경조사/용돈,,1.0,지급,민이용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,61445.0
61,받는사람,요구불간계좌이체,민재,민재,0.0,,경조사/용돈,,1.0,지급,민재용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,61448.0
62,금융용어,요구불간계좌이체,용돈,용돈,1.0,,경조사/용돈,,1.0,지급,민재용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,, - , - ,,61448.0
63,받는사람,전자뱅킹예약건별이체,민주,민주,0.0,,경조사/용돈,,1.0,지급,민주용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,,"10,000","10,000",,61475.0
64,금융용어,전자뱅킹예약건별이체,용돈,용돈,1.0,,경조사/용돈,,1.0,지급,민주용돈,용돈 으로(로) 이체한 내역의 적요이다.,,,,"10,000","10,000",,61475.0
