,개체명,거래코드,단어,단어의미,단어일련번호,데이터셋출처,분류,분류번호,완료여부,입출금구분,적요,적요 설명,적요구조,적요구조일련번호,적요일련번호,최대금액,최소금액,출처번호,확인용
0,알수없음,인터넷뱅킹 대량이체,1월,1월,0.0,,기타소득,,1.0,입금,     월활동비,활동비으로(로) 입금된 내역의 적요이다.,,,,"70,000","70,000",,23.0
1,금융용어,인터넷뱅킹 대량이체,활동비,활동비,1.0,,기타소득,,1.0,입금,     월활동비,활동비으로(로) 입금된 내역의 적요이다.,,,,"70,000","70,000",,23.0
2,금융용어,인터넷뱅킹 대량이체,자기계발비,자기계발비,0.0,,복리후생비/경비,,1.0,입금,    　자기계발비,자기계발비으로(로) 입금된 내역의 적요이다.,,,,"879,000","879,000",,35.0
3,금융용어,인터넷뱅킹 대량이체,경비,경비,0.0,,복리후생비/경비,,1.0,입금,    경비,경비으로(로) 입금된 내역의 적요이다.,,,,"177,000", - ,,38.0
4,금융용어,인터넷뱅킹 대량이체,교통비,교통비,0.0,,생활비입금,,1.0,입금,    교통비,교통비으로(로) 입금된 내역의 적요이다.,,,,"63,000","63,000",,39.0
5,알수없음,인터넷뱅킹 대량이체,1년,1년,0.0,,복리후생비/경비,,1.0,입금,    년　설귀성비,귀성비으로(로) 입금된 내역의 적요이다.,,,,"450,000","400,000",,67.0
6,알수없음,인터넷뱅킹 대량이체,설,설,1.0,,복리후생비/경비,,1.0,입금,    년　설귀성비,귀성비으로(로) 입금된 내역의 적요이다.,,,,"450,000","400,000",,67.0
7,금융용어,인터넷뱅킹 대량이체,귀성비,귀성비,2.0,,복리후생비/경비,,1.0,입금,    년　설귀성비,귀성비으로(로) 입금된 내역의 적요이다.,,,,"450,000","400,000",,67.0
8,금융용어,인터넷뱅킹 대량이체,여비,여비,0.0,,생활비입금,,1.0,입금,    여비,여비으로(로) 입금된 내역의 적요이다.,,,, - , - ,,101.0
9,알수없음,전자뱅킹예약건별이체,1호,1호,0.0,,부동산수입,,1.0,입금,   호 월관리비,관리비으로(로) 입금된 내역의 적요이다.,,,,"30,000","30,000",,154.0
10,알수없음,전자뱅킹예약건별이체,1월,1월,1.0,,부동산수입,,1.0,입금,   호 월관리비,관리비으로(로) 입금된 내역의 적요이다.,,,,"30,000","30,000",,154.0
11,금융용어,전자뱅킹예약건별이체,관리비,관리비,2.0,,부동산수입,,1.0,입금,   호 월관리비,관리비으로(로) 입금된 내역의 적요이다.,,,,"30,000","30,000",,154.0
12,알수없음,인터넷뱅킹 대량이체,1호,1호,0.0,,부동산수입,,1.0,입금,   호관리비,관리비으로(로) 입금된 내역의 적요이다.,,,,"40,000","40,000",,159.0
13,금융용어,인터넷뱅킹 대량이체,관리비,관리비,1.0,,부동산수입,,1.0,입금,   호관리비,관리비으로(로) 입금된 내역의 적요이다.,,,,"40,000","40,000",,159.0
14,금융용어,인터넷뱅킹 대량이체,경비,경비,0.0,,복리후생비/경비,,1.0,입금,  　경비,경비으로(로) 입금된 내역의 적요이다.,,,, - , - ,,185.0
15,금융용어,인터넷뱅킹 대량이체,경비,경비,0.0,,복리후생비/경비,,1.0,입금,  경비,경비으로(로) 입금된 내역의 적요이다.,,,,"50,000","50,000",,188.0
16,알수없음,인터넷뱅킹 대량이체,1년,1년,0.0,,복리후생비/경비,,1.0,입금,  년  월경비,경비으로(로) 입금된 내역의 적요이다.,,,,"47,000","47,000",,197.0
17,알수없음,인터넷뱅킹 대량이체,1월,1월,1.0,,복리후생비/경비,,1.0,입금,  년  월경비,경비으로(로) 입금된 내역의 적요이다.,,,,"47,000","47,000",,197.0
18,금융용어,인터넷뱅킹 대량이체,경비,경비,2.0,,복리후생비/경비,,1.0,입금,  년  월경비,경비으로(로) 입금된 내역의 적요이다.,,,,"47,000","47,000",,197.0
19,알수없음,인터넷뱅킹 대량이체,1년,1년,0.0,,복리후생비/경비,,1.0,입금,  년 월경비,경비으로(로) 입금된 내역의 적요이다.,,,,"531,000","81,000",,206.0
20,알수없음,인터넷뱅킹 대량이체,1월,1월,1.0,,복리후생비/경비,,1.0,입금,  년 월경비,경비으로(로) 입금된 내역의 적요이다.,,,,"531,000","81,000",,206.0
21,금융용어,인터넷뱅킹 대량이체,경비,경비,2.0,,복리후생비/경비,,1.0,입금,  년 월경비,경비으로(로) 입금된 내역의 적요이다.,,,,"531,000","81,000",,206.0
22,알수없음,인터넷뱅킹 대량이체,1년,1년,0.0,,기타소득,,1.0,입금,  년 월영업활동비,활동비으로(로) 입금된 내역의 적요이다.,,,,"446,000","99,000",,210.0
23,알수없음,인터넷뱅킹 대량이체,1월,1월,1.0,,기타소득,,1.0,입금,  년 월영업활동비,활동비으로(로) 입금된 내역의 적요이다.,,,,"446,000","99,000",,210.0
