,개체명,거래코드,단어,단어의미,단어일련번호,데이터셋출처,분류,분류번호,완료여부,입출금구분,적요,적요 설명,적요구조,적요구조일련번호,적요일련번호,최대금액,최소금액,출처번호,확인용
0,은행명,납부자자동 입금이체,국민,KB국민은행,0.0,,대출금,,1.0,입금,국민－집대출  만,KB국민은행 계좌에서 대출로(으로) 입금된 내역의 적요이다.,,,,"430,000","430,000",,4451.0
1,알수없음,납부자자동 입금이체,집,집,1.0,,대출금,,1.0,입금,국민－집대출  만,KB국민은행 계좌에서 대출로(으로) 입금된 내역의 적요이다.,,,,"430,000","430,000",,4451.0
2,알수없음,납부자자동 입금이체,1만,1만,2.0,,대출금,,1.0,입금,국민－집대출  만,KB국민은행 계좌에서 대출로(으로) 입금된 내역의 적요이다.,,,,"430,000","430,000",,4451.0
3,금융용어,납부자자동 입금이체,대출,대출,3.0,,대출금,,1.0,입금,국민－집대출  만,KB국민은행 계좌에서 대출로(으로) 입금된 내역의 적요이다.,,,,"430,000","430,000",,4451.0
4,은행명,납부자자동 입금이체,국민,KB국민은행,0.0,,이자,,1.0,입금,국민－한라대출이자,KB국민은행 계좌에서 대출이자로(으로) 입금된 내역의 적요이다.,,,,"365,000","365,000",,4479.0
5,알수없음,납부자자동 입금이체,한라,한라,1.0,,이자,,1.0,입금,국민－한라대출이자,KB국민은행 계좌에서 대출이자로(으로) 입금된 내역의 적요이다.,,,,"365,000","365,000",,4479.0
6,금융용어,납부자자동 입금이체,대출이자,대출이자,2.0,,이자,,1.0,입금,국민－한라대출이자,KB국민은행 계좌에서 대출이자로(으로) 입금된 내역의 적요이다.,,,,"365,000","365,000",,4479.0
7,은행명,납부자자동 입금이체,금고,새마을금고,0.0,,대출금,,1.0,입금,금고－안심전환대출,새마을금고 계좌에서 대출로(으로) 입금된 내역의 적요이다.,,,,"427,000","427,000",,4666.0
8,알수없음,납부자자동 입금이체,안심전환,안심전환,1.0,,대출금,,1.0,입금,금고－안심전환대출,새마을금고 계좌에서 대출로(으로) 입금된 내역의 적요이다.,,,,"427,000","427,000",,4666.0
9,금융용어,납부자자동 입금이체,대출,대출,2.0,,대출금,,1.0,입금,금고－안심전환대출,새마을금고 계좌에서 대출로(으로) 입금된 내역의 적요이다.,,,,"427,000","427,000",,4666.0
10,은행명,납부자자동 입금이체,신한,신한은행,0.0,,대출금,,1.0,입금,신한－대출이자,신한은행 계좌에서 대출이자로(으로) 입금된 내역의 적요이다.,,,,"500,000","50,000",,10416.0
11,금융용어,납부자자동 입금이체,대출이자,대출이자,1.0,,대출금,,1.0,입금,신한－대출이자,신한은행 계좌에서 대출이자로(으로) 입금된 내역의 적요이다.,,,,"500,000","50,000",,10416.0
12,은행명,납부자자동 입금이체,신한,신한은행,0.0,,대출금,,1.0,입금,신한－이자상환,신한은행 계좌에서 이자로(으로) 입금된 내역의 적요이다.,,,,"300,000","300,000",,10545.0
13,알수없음,납부자자동 입금이체,상환,상환,1.0,,대출금,,1.0,입금,신한－이자상환,신한은행 계좌에서 이자로(으로) 입금된 내역의 적요이다.,,,,"300,000","300,000",,10545.0
14,금융용어,납부자자동 입금이체,이자,이자,2.0,,대출금,,1.0,입금,신한－이자상환,신한은행 계좌에서 이자로(으로) 입금된 내역의 적요이다.,,,,"300,000","300,000",,10545.0
