,개체명,거래코드,단어,단어의미,단어일련번호,데이터셋출처,분류,분류번호,완료여부,입출금구분,적요,적요 설명,적요구조,적요구조일련번호,적요일련번호,최대금액,최소금액,출처번호,확인용
0,숫자단위/학교명,펌뱅킹 입금이체,1기,1기,0.0,,기타소득,,1.0,입금, 기방과성덕고등,방과비 으로(로) 고등학교에서(에) 입금된 내역의 적요이다.,,,, - , - ,,546.0
1,숫자단위/학교명,펌뱅킹 입금이체,성덕,성덕,1.0,,기타소득,,1.0,입금, 기방과성덕고등,방과비 으로(로) 고등학교에서(에) 입금된 내역의 적요이다.,,,, - , - ,,546.0
2,비용명,펌뱅킹 입금이체,방과,방과비,2.0,,기타소득,,1.0,입금, 기방과성덕고등,방과비 으로(로) 고등학교에서(에) 입금된 내역의 적요이다.,,,, - , - ,,546.0
3,학교,펌뱅킹 입금이체,고등,고등학교,3.0,,기타소득,,1.0,입금, 기방과성덕고등,방과비 으로(로) 고등학교에서(에) 입금된 내역의 적요이다.,,,, - , - ,,546.0
4,숫자단위/학교명,펌뱅킹 입금이체,교육마술구일,교육마술구일,0.0,,기타소득,,1.0,입금,교육마술구일초등,교육비 으로(로) 초등학교에서(에) 입금된 내역의 적요이다.,,,,"7,000","7,000",,3954.0
5,학교,펌뱅킹 입금이체,초등,초등학교,1.0,,기타소득,,1.0,입금,교육마술구일초등,교육비 으로(로) 초등학교에서(에) 입금된 내역의 적요이다.,,,,"7,000","7,000",,3954.0
6,숫자단위/학교명,펌뱅킹 입금이체,반풍문,반풍문,0.0,,환급/환불,,1.0,입금,조식비반풍문고등,조식비 으로(로) 고등학교에서(에) 입금된 내역의 적요이다.,,,,"56,000","56,000",,13550.0
7,비용명,펌뱅킹 입금이체,조식비,조식비,1.0,,환급/환불,,1.0,입금,조식비반풍문고등,조식비 으로(로) 고등학교에서(에) 입금된 내역의 적요이다.,,,,"56,000","56,000",,13550.0
8,학교,펌뱅킹 입금이체,고등,고등학교,2.0,,환급/환불,,1.0,입금,조식비반풍문고등,조식비 으로(로) 고등학교에서(에) 입금된 내역의 적요이다.,,,,"56,000","56,000",,13550.0
9,숫자단위/학교명,펌뱅킹 출금이체,1기,1기,0.0,,교육비,,1.0,지급, 기방과성덕고등,방과비 으로(로) 고등학교에 이체한 내역의 적요이다.,,,,"40,000","40,000",,33021.0
10,숫자단위/학교명,펌뱅킹 출금이체,성덕,성덕,1.0,,교육비,,1.0,지급, 기방과성덕고등,방과비 으로(로) 고등학교에 이체한 내역의 적요이다.,,,,"40,000","40,000",,33021.0
11,비용명,펌뱅킹 출금이체,방과,방과비,2.0,,교육비,,1.0,지급, 기방과성덕고등,방과비 으로(로) 고등학교에 이체한 내역의 적요이다.,,,,"40,000","40,000",,33021.0
12,학교,펌뱅킹 출금이체,고등,고등학교,3.0,,교육비,,1.0,지급, 기방과성덕고등,방과비 으로(로) 고등학교에 이체한 내역의 적요이다.,,,,"40,000","40,000",,33021.0
13,숫자단위/학교명,펌뱅킹 출금이체,1월,1월,0.0,,교육비,,1.0,지급, 월급식영일고등,급식비 으로(로) 고등학교에 이체한 내역의 적요이다.,,,,"60,000", - ,,33090.0
14,숫자단위/학교명,펌뱅킹 출금이체,영일,영일,1.0,,교육비,,1.0,지급, 월급식영일고등,급식비 으로(로) 고등학교에 이체한 내역의 적요이다.,,,,"60,000", - ,,33090.0
15,비용명,펌뱅킹 출금이체,급식,급식비,2.0,,교육비,,1.0,지급, 월급식영일고등,급식비 으로(로) 고등학교에 이체한 내역의 적요이다.,,,,"60,000", - ,,33090.0
16,학교,펌뱅킹 출금이체,고등,고등학교,3.0,,교육비,,1.0,지급, 월급식영일고등,급식비 으로(로) 고등학교에 이체한 내역의 적요이다.,,,,"60,000", - ,,33090.0
17,숫자단위/학교명,펌뱅킹 출금이체,1월,1월,0.0,,교육비,,1.0,지급, 월기숙명덕고등,기숙비 으로(로) 고등학교에 이체한 내역의 적요이다.,,,,"350,000","350,000",,33102.0
18,숫자단위/학교명,펌뱅킹 출금이체,명덕,명덕,1.0,,교육비,,1.0,지급, 월기숙명덕고등,기숙비 으로(로) 고등학교에 이체한 내역의 적요이다.,,,,"350,000","350,000",,33102.0
19,비용명,펌뱅킹 출금이체,기숙,기숙비,2.0,,교육비,,1.0,지급, 월기숙명덕고등,기숙비 으로(로) 고등학교에 이체한 내역의 적요이다.,,,,"350,000","350,000",,33102.0
20,학교,펌뱅킹 출금이체,고등,고등학교,3.0,,교육비,,1.0,지급, 월기숙명덕고등,기숙비 으로(로) 고등학교에 이체한 내역의 적요이다.,,,,"350,000","350,000",,33102.0
21,숫자단위/학교명,펌뱅킹 출금이체,1월,1월,0.0,,교육비,,1.0,지급, 월석식명덕고등,석식비 으로(로) 고등학교에 이체한 내역의 적요이다.,,,,"87,000", - ,,33134.0
22,숫자단위/학교명,펌뱅킹 출금이체,명덕,명덕,1.0,,교육비,,1.0,지급, 월석식명덕고등,석식비 으로(로) 고등학교에 이체한 내역의 적요이다.,,,,"87,000", - ,,33134.0
23,비용명,펌뱅킹 출금이체,석식,석식비,2.0,,교육비,,1.0,지급, 월석식명덕고등,석식비 으로(로) 고등학교에 이체한 내역의 적요이다.,,,,"87,000", - ,,33134.0
24,학교,펌뱅킹 출금이체,고등,고등학교,3.0,,교육비,,1.0,지급, 월석식명덕고등,석식비 으로(로) 고등학교에 이체한 내역의 적요이다.,,,,"87,000", - ,,33134.0
25,숫자단위/학교명,펌뱅킹 출금이체,1월,1월,0.0,,교육비,,1.0,지급, 월우유영일고등,우유비 으로(로) 고등학교에 이체한 내역의 적요이다.,,,,"9,000","7,000",,33150.0
26,숫자단위/학교명,펌뱅킹 출금이체,영일,영일,1.0,,교육비,,1.0,지급, 월우유영일고등,우유비 으로(로) 고등학교에 이체한 내역의 적요이다.,,,,"9,000","7,000",,33150.0
27,비용명,펌뱅킹 출금이체,우유,우유비,2.0,,교육비,,1.0,지급, 월우유영일고등,우유비 으로(로) 고등학교에 이체한 내역의 적요이다.,,,,"9,000","7,000",,33150.0
28,학교,펌뱅킹 출금이체,고등,고등학교,3.0,,교육비,,1.0,지급, 월우유영일고등,우유비 으로(로) 고등학교에 이체한 내역의 적요이다.,,,,"9,000","7,000",,33150.0
29,숫자단위/학교명,펌뱅킹 출금이체,1월,1월,0.0,,교육비,,1.0,지급, 월조식명덕고등,조식비 으로(로) 고등학교에 이체한 내역의 적요이다.,,,,"77,000","77,000",,33160.0
30,숫자단위/학교명,펌뱅킹 출금이체,명덕,명덕,1.0,,교육비,,1.0,지급, 월조식명덕고등,조식비 으로(로) 고등학교에 이체한 내역의 적요이다.,,,,"77,000","77,000",,33160.0
31,비용명,펌뱅킹 출금이체,조식,조식비,2.0,,교육비,,1.0,지급, 월조식명덕고등,조식비 으로(로) 고등학교에 이체한 내역의 적요이다.,,,,"77,000","77,000",,33160.0
32,학교,펌뱅킹 출금이체,고등,고등학교,3.0,,교육비,,1.0,지급, 월조식명덕고등,조식비 으로(로) 고등학교에 이체한 내역의 적요이다.,,,,"77,000","77,000",,33160.0
33,숫자단위/학교명,펌뱅킹 출금이체,방영일,방영일,0.0,,교육비,,1.0,지급, ～ 방영일고등,교육비 으로(로) 고등학교에 이체한 내역의 적요이다.,,,, - , - ,,39275.0
34,학교,펌뱅킹 출금이체,고등,고등학교,1.0,,교육비,,1.0,지급, ～ 방영일고등,교육비 으로(로) 고등학교에 이체한 내역의 적요이다.,,,, - , - ,,39275.0
35,숫자단위/학교명,펌뱅킹 출금이체,경주중,경주중,0.0,,교육비,,1.0,지급,경주중고등,교육비 으로(로) 고등학교에 이체한 내역의 적요이다.,,,,"10,000","10,000",,42314.0
36,학교,펌뱅킹 출금이체,고등,고등학교,1.0,,교육비,,1.0,지급,경주중고등,교육비 으로(로) 고등학교에 이체한 내역의 적요이다.,,,,"10,000","10,000",,42314.0
